Company Name,Location,Phone
Kids2b Eenrum,Plantsoenstraat 4 9967 RE Eenrum,0595-577067
Kids2b Loppersum,Badweg 39a 9919 JA Loppersum,0596-571942 / 0596-571932 / 0596-571109
Kids2b PSZ 't Hummelhoes Spijk,Ubbenasingel 46 9902 AR Spijk,0596-591928
Kids2b PSZ 't Hummelhoes Woldendorp,Burgemeester Garreltsweg 35b 9946 PM Woldendorp,06-10178651
Kids2b PSZ 't Lutje Grut,Nieuwestreek 33 9891 AB Ezinge,06-42630788
Kids2b PSZ 't Molentje,Kastanjelaan 10 9771 AZ Sauwerd,050-3061760
Kids2b PSZ De Joagertjes,Mr A J van Roijenstraat 7 9959 PN Onderdendam,06-316825564
Kids2b PSZ De Paddestoel,Barklaan 10 9934 JT Delfzijl,0596-616101
Kids2b PSZ De Paddestoel,Foelkiusstraat 2 9781 BB Bedum,050-3012130
Kids2b PSZ Duimelotje,Hallehuis 4 9932 CR Delfzijl,0596-654558
Kids2b PSZ Humpie Dumpie,Tonnistil 20 9945 RZ Wagenborgen,0596-542531
Kids2b PSZ Otje,Gersteland 3 9932 HZ Delfzijl,06-10179716
Kids2b Ten Boer,Kievitstraat 6 9791 ER Ten Boer,050-3023918 / 050-3024322
Kids2b Uithuizen,Oosterstraat 25 9981 CN Uithuizen,0595-432775
Kids2b Winsum,Warfstraat 1a 9951 BS Winsum gn,0595-435888 / 0595-435647 / 0595-435196
Kidscasa Kinderopvang B.V.,Postbus 149 9300 AC Roden,050-5020244
Kidspalace Kinderdagverblijf,van der Merckstraat 12 3295 XX 's-Gravendeel,0786735465
Kid’s Garden,Bemelergrubbe 15 6226 NK Maastricht,
KieKeBoe BV Kinderdagverblijf,Meervalstraat 27/A 1431 WE Aalsmeer,0297344613
Kindcentrum De Speelwereld,Schoolmeesterstraat 2a 5056 KK Berkel-Enschot,0132119061
Kindcentrum Elburg Stichting (SKE),De Wimpel 2 8081 JS Elburg,0525683568
Kinder Hotel Droomrijk,x x 3061 EM,x
Kinder Service Hotels BV/Hoofdkantoor,Nijverheidsweg 14/A 7031 BV Wehl,0314680498
Kinder- en Buitenschoolse Opvang De Kluts,Roderweg 82/84 9311 PB Nieuw roden,0505015349
Kindercentrum 'Leutje Laiverds',Beijumerweg 17 9737 AB Groningen,06-22760292
Kindercentrum 't Kickertje,Achterdijkshoorn 11 2635 MK Den Hoorn,015-2573212
Kindercentrum 't Kickertje,Burg van Gentsingel 1b 2636 BP Schipluiden,015-3807138
Kindercentrum ABC,Laarstraat 59 7201 CB Zutphen,
Kindercentrum de Ark,Palestrinastraat 14 5344 AA Oss,0412 641154
Kindercentrum de Buitenhoeve,De Wulpen 12 8347 HL Eesveen,0521578225
Kindercentrum de Parel,Randstad 22 115 1316 BW Almere Stad,0365306106
Kindercentrum De Schaapskooi,Bloemendaalseweg 46 2804 AB Gouda,0182571373
Kindercentrum In Bloei,Veldweg 1a 7973 KH Darp,06 23255839
Kindercentrum kidz!,Eenhoornplantsoen 9 4501 CL Oostburg,0117-452929
Kindercentrum Kind in Beeld,Atjehstraat 32 2315 CV Leiden,06 26020484
Kindercentrum Petito's,Wilhelminastraat 78 5104 GD Dongen,0162313514
Kindercentrum WereldKids,TWEEDE CONSTANTIJN HUYGENSSTRAAT 12 1054 CT Amsterdam,0204892327
Kindercentrum Wollewaps,Akkersplein 56A 8443 AP Heerenveen,0513203024
Kinderdagopvang Ot en Sien,Oude Rijksweg 77 7951 EA Staphorst,0522701131
"Kinderdagverblijf ""De Bereboot"" B.V.",Oude Dierdonk 1 5703 JV Helmond,0492-475009
kinderdagverblijf 'de 7 dwergen',Haydnstraat 2 8031 ZA Zwolle,038-4544372
Kinderdagverblijf 't Olefantje Nieuwegracht,Nieuwegracht 49 3512 LE Utrecht,030 2310702
Kinderdagverblijf Bonbini,Udenhout 5071 EZ,
Kinderdagverblijf de Boerderij,Oosterstraat 66 9502 EE Stadskanaal,0599-611237
Kinderdagverblijf De Elsen Almere,Fluitekruidstraat 71 1313 KT Almere,036-5401494
Kinderdagverblijf De Kabouters,De Boomgaard 7 9408 JA Assen,0592744130
Kinderdagverblijf De Kindereijk,Eerste Zeine 96 5144 AL Waalwijk,0416-857015
Kinderdagverblijf De Kleine Prins,Nuenenseweg 6 5631 KB Eindhoven,0402452948
Kinderdagverblijf De Lelietuin,Symon Claeszstraat 9 1502 VD Zaandam,06 29171939
kinderdagverblijf De Wigwam,Hoofdweg 51 7371 AE Loenen,055-8445302 of 06-47959335
Kinderdagverblijf Duimelotje,Molenplein 3 4542 DA Hoek,0115 441247
Kinderdagverblijf Fesa,Volendammerweg 51 1024 JK Amsterdam,020-7371429
Kinderdagverblijf Future Kids,Sterrenoord 67 2544 JW 's-gravenhage,070 205 0502
Kinderdagverblijf Hamertje-tik,Emingaheerd 104 - 108 9737 GA Groningen,050-3642231
Kinderdagverblijf Happy 4 Kids B.V.,Beverwijckstraat 65 3311 GB Dordrecht,0786200640
Kinderdagverblijf Heppie B.V.,Winschoterdiep 70 9723 AB Groningen,050-52 34 690
Kinderdagverblijf Het Berkje,Molenstraat 141-143 6721 OM Bennekom,0318-500004
Kinderdagverblijf het Elfenbankje,Langeveldstraat 21 7871 PJ Klijndijk,0591 767286
kinderdagverblijf het Elfje,Camerlingstraat 2 2614 BE Delft,015-2120061
Kinderdagverblijf Het Kevertje,Westerkade 36 3511 HC Utrecht,030 233 2823
Kinderdagverblijf Het Speeldorp Bunnik,Pastoor Heggelaan 2 3981 GJ Bunnik,030 – 65 73 357
Kinderdagverblijf Het Speeldorp Soest,Driehoeksweg 18 3768 EP Soest,035 – 60 276 02
Kinderdagverblijf InieMini,Haarlemmermeerstraat 166 1058 KK Amsterdam,06 41081028
Kinderdagverblijf Janneke's Trots,Kruisweg 2 5406 PB Uden,0413270800
Kinderdagverblijf Jottum B.V.,Kleine Rozenstraat 19 9712 TL Groningen,050-3131344
Kinderdagverblijf Kikker Rik,Banckertlaan 132b 1215 RH Hilversum,0356281410
Kinderdagverblijf Klein Duimpje,Postbus 134 8800 AC Franeker,0517380680
Kinderdagverblijf Kolkkidz,Klaas Bootpad 2 1827 CX Alkmaar,
Kinderdagverblijf Kumari,Im Langental 58A 5253 38 Hillensberg Selfkant,06 46433261
kinderdagverblijf Nanoq,Wilhelminastraat 35a/01 4921 KC Made,06 23213730
Kinderdagverblijf Natuurlijk Avontuurlijk,Lange Aventuurseweg 1 4107 LW Culemborg,0345533880/ 0637449130
Kinderdagverblijf Pepeloentje V.O.F.,Dorpstraat 54C 6923 AH Groessen,0316 341 994
Kinderdagverblijf Small,Apeldoornselaan 294-304 2573 LX 's-gravenhage,0703600721
Kinderdagverblijf Tembo,Vechtstraat 13 9725 CS Groningen,0502043985
Kinderdagverblijf Tembo,Heresingel 18 9711 ET Groningen,0502802793
Kinderdagverblijf Ut Trepke,Meeuwenbergweg 2 7399 AN Empe,0575-503553
Kinderdagverblijf Ut Trepke,Rijksstraatweg 87 7383 AM Voorst,0575-725200
Kinderdagverblijf Villa Kakelbont Venlo,Ferdinand Bolstraat 8A 5914 XN Venlo,077-8516201
Kinderdagverblijf Villa Valentijn Den Haag,Frankenslag 145 2582 HJ 's-gravenhage,085 489 0090
Kinderdagverblijf Villa Valentijn Middelburg,Rouaansekaai 61 4331 HC Middelburg,085 489 0090
Kinderdagverblijf Vrijland,Waldfeuchterbaan 140A 6105 BP Maria Hoop,0475 202 044
Kinderdagverblijf Willemijne,Oosterkade 10 3581 AT Utrecht,030-2300950
Kinderdagverblijf Zazou B.V. Donkersingel 70-72,Donkersingel 70-72 3052 PL Rotterdam,010-4223800
Kinderdagverblijf/B.S.O. Oppashuis Assendorp,Groeneweg 142 8012 AS Zwolle,06-11873383
KindeRdam,Schiekade 34 3032 AJ Rotterdam,010-44 300 33
Kinderfdagverblijf Belle Fleur Etten Leur,Markt 98 4875 CG Etten-leur,0768009989
Kindergarden Kinderdagverblijf,Herengracht 244/BEL 1016 BT Amsterdam,0203307575
Kinderhuis De Fuut,Veerweg 38 4101 AK Culemborg,06 41204534
Kinderopvang 't Dreumeshuis,Lekkumerweg 85 8923 BB Leeuwarden,058 2137734
Kinderopvang 't Goudvisje & BSO 't Haaienhonk,Postbus 223 5240 AE Rosmalen,(073) 522 16 70
Kinderopvang 't Herdertje,Wijkpark Bangaerde 2 1689 BH Zwaag,0229 248 745
Kinderopvang 't Hummelhûs,Hoofdweg 221 8474 CG Oldeholtpade,0513-541414
Kinderopvang aan huis  Hondje Woef,Boterweg 14 7371 GK Loenen,06-15901331
Kinderopvang Alles Kits,Spaansche Pad 1 1861 TK Bergen,0644194484
Kinderopvang Baarn,Maatkampweg 20 3742 XM Baarn,035 - 548 84 88
Kinderopvang Bambaloe,Schweitzerlaan 12 9728 NP Groningen,0505280800
Kinderopvang COKD,Spoorhaven 10-18 2651 AV Berkel en Rodenrijs,0786163422
Kinderopvang De Bereboot,Prins Hendrikstraat 1/A 9401 KS Assen,0592317597
Kinderopvang De Blokkentoren Haren,Wederikweg 19 9753 AA Haren Gn,06-41878338
Kinderopvang De Cristallijn,Zonnebloemveld 8 6641 TA Beuningen gld,024-6778122
Kinderopvang de Hummeltjeshoeve,Groeneweg 20 4161 BK Heukelum,
Kinderopvang De Kindjes,Pampagras 112 3902 SV Veenendaal,
Kinderopvang de Plu,Deken Baekersstraat 10 5482 JH Schijndel,0735472840
Kinderopvang De Tivoli,Tivoliweg 88 4561 HM Hulst,0114310860
Kinderopvang de Verbinding,P.S. Buckstraat 1 5491 DG Sint-Oedenrode,0413782142
Kinderopvang en peuterspeelzalen Stichting de Achthoek,Varsseveldseweg 65 D 7131 JA Lichtenvoorde,0544 487 150
Kinderopvang ESKADEE,Middelmeede 38 4921 BZ Made,0162686179
Kinderopvang Hengelo,Oldenzaalsestraat 61 7551 AP Hengelo,0742503312
kinderopvang het Lieveheersbeestje en bso,Beukenlaan 51 5741 DL Beek en donk,
Kinderopvang Heyendael,Toernooiveld 15 6525 ED Nijmegen,024-3611785
Kinderopvang Huisje Boompje Beestje,Laan van Meerdervoort 124 2517 BD 's Gravenhage,06 28776516
Kinderopvang Huisje Boompje Beestje,Laan van Meerdervoort 124 2517 BD 's-gravenhage,06-28776516
Kinderopvang Humankind,Meezenbroekerweg 1A 6412 VK Heerlen,045 561 5353
Kinderopvang Kakelbont,Papenvoortsedijk 1c 5447 NG Rijkevoort,0485-372183
Kinderopvang Kelsey B. V.,Middenweg 97 A-B 1098 AG Amsterdam,
Kinderopvang Kiki Nous,Zwitserlandstraat 6 1363 BE Almere Poort,036 84 86 826
Kinderopvang Little Moon,Oldenoert 51 9351 KV Leek,
Kinderopvang Mathil,Seringenhof 2 7954 JB Rouveen,0522-202107
Kinderopvang Midas bv,Driherenlaan 31A 2103 SB Heemstede,0235474674
Kinderopvang Mirakel,Parlevinker 21 1186 ZA Amstelveen,020 661 3507
Kinderopvang Oki (m.i.v. 01-01-2024 Kids First),Zuidlaarderweg/Julianalaan 63/67 9479 PR Noordlaren/Zuidlaren,
Kinderopvang Omy Groningen en Kinderopvang Omy in Leek,Helperpark 258-1 9723 ZA Groningen,06 26984073
Kinderopvang Op Stoom,Rutherfordstraat 4 2014 KA Haarlem,0235442737
Kinderopvang Op Stoom Dorst,Cypressenstraat 11 4849 ST Dorst,
Kinderopvang Paddington,"Kapelstraat 1, 2 & 2B 9781 GK Bedum",050-3010375
Kinderopvang Plukkebol (locatie Raamstraat),Raamstraat 65 2613 RW Delft,015-2570604
Kinderopvang Plukkebol (locatie Rotterdamseweg),Rotterdamseweg 183A 2628 ZE Delft,015-2125400
Kinderopvang Plukkebol (locatie van Embdenstraat),van Embdenstraat 2 2628 ZE Delft,015-2125400
kinderopvang PUK,Wethouder Broersstraat 6 6245 JB Eijsden,0614965726
Kinderopvang Purmerend,Waterlandlaan 30 1441 MP Purmerend,0299461011
Kinderopvang ROMI B.V.,Van Asch van Wijcklaan 57 8096 AG Oldebroek,0525- 637370
Kinderopvang ROMI B.V.- Buitenschoolse opvang Het Anker,Zuiderzeestraatweg 62 8081 LD Oostendorp,0525-63 73 70
Kinderopvang SKIJ,Praagsingel 378 3404 CT IJsselstein,06-15012236
Kinderopvang SKIJ / Kinderdagverblijf 't IJsseldijkje,Planetenbaan 46 3402 HP Ijsselstein ut,
Kinderopvang Snoopy en Buitenschoolse opvang Woodstock,Tesselschadelaan 2 7314 LL Apeldoorn,0553555577
Kinderopvang Stichting Hoorn (SKH),van Dedemstraat 6 B-C 1624 NN Hoorn,0229 248 770
Kinderopvang ZAZOU,Koraalstraat 19 3051 VG Rotterdam,010-4223800
Kinderopvang ZAZOU BSO Bergse Zonnebloem,Elektroweg 18 3051 NC Rotterdam,010-2182040
"Kinderopvang Zazou BSO, KDV en Voorschool",Koraalstraat 19 3051 VG Rotterdam,010-4189104
Kinderopvang ZAZOU KDV Kleiweg 115,Kleiweg 115 3051 GL Rotterdam,010-4223800
Kinderopvang ZAZOU KDV Kleiweg 124,Kleiweg 124 3051 GX Rotterdam,010-2188154
Kinderopvang ZAZOU Kleiweg 310,Kleiweg 310 3045 PM Rotterdam,010-4223800
Kinderopvang Zonnekinderen,Nijmeegsestraat 19/D 6691 CK Gendt,0481423839
Kinderopvangaalsmeer.com,Mendelstraat 109 1431 KP Aalsmeer,0624263819
Kinderopvangorganisatie Toppie,Hilvertsweg 162 a 1214 JL Hilversum,0355414647
Kinderrijk,Biss Philip Roveniusstr 2 7141 KS Groenlo,0544-464263
Kindertuin Kindercentrum,Kastanjelaan 6 5283 WE Boxtel,0411 689 110
Kindervilla Het Kootertje,Leeuwenlaan 27 4532 AE Terneuzen,0115-649674
Kinderwereld,Disc 5 7741 MH Coevorden,0524524445
kinderWORLD kinderopvang Almere Haven,Fontanapad 2 1351 GP Almere,036- 54 64748
kinderWORLD kinderopvang Almere Stad,Audioweg 5 1322 AT Almere,036-5464748
kinderWORLD kinderopvang Dronten,Het Zwarte Water 53 t/m 59 8253 PD Dronten,036-5464748
kinderWORLD kinderopvang Emmeloord,Meldestraat 2 8302 VB Emmeloord,036-5464748
kinderWORLD kinderopvang Lelystad,Apolloweg 56 8239 DA Lelystad,036-5464748
Kinderwoud Kinderopvang,Trambaan 1E 8440 AH Heerenveen,0513 - 610 825
Kinderwoud Kinderopvang,Trambaan 1E 8440 AH Heerenveen,0513 - 610 825
Kindzorg Kinderdagverblijven,Mahoniehout 14/18 1507 ED Zaandam,0756570288
Kindzorg kinderopvang,Provincialeweg 180 1506 MG Zaandam,088-1919190
KinOP Almere,Tuinkersstraat 1 1314 KW Almere,036-5345767
KinOP Apeldoorn,Koninginnelaan 33 7315 BK Apeldoorn,055 5762639
KinOP Den Bosch,Brabanthoeven 151 5244 HM Rosmalen,073-5236942
KinOP Doetinchem,Thomas A Kempisstraat 22 7009 KT Doetinchem,0314-395748
KinOP Drachten,Amethist 1a 9207 GJ Drachten,0512-366096
KINOP gastouderbureau,De Buis 6 5247 LN Rosmalen,0411-610041
KinOP Grave,Zaalheuvelweg 51 5363 TE Velp nb,0486-422056
KinOP Haarlemmermeer,Bolwerksepoort 28 2152 HD Nieuw vennep,0252-523147
KinOP Kasteel,Zijpendaalstraat 7 6535 PS Nijmegen,024-378 93 48
KinOP Klaaswaal,Pinksterbloemstraat 11 3286 VH Klaaswaal,0186-575458
KinOP Leeuwarden,Zijlroede 6 8939 AK Leeuwarden,058-2124779
KinOP Nijmegen,Graafseweg 270 6532 ZV Nijmegen,024-378 93 48
KinOP Tilburg,De Dissel 15 5056 MK Berkel-enschot,013-7502580
KinOP Utrecht,Gildstraat 125 3572 EM Utrecht,030-2721203
KinOP Vianen,Lekdijk 6 4121 KJ Everdingen,0347-778624
KinOP Wijchen,De Meren 1060 6605 XP Wijchen,024-8480701
KinOP Zevenaar,Spinet 25 6904 PD Zevenaar,0316-842725
KiWi Stichting Kinderopvang Winschoten,Zaanstraat 47/A 9673 CA Winschoten,0597431844
Klein Duimpje Kinderdagverblijf regulier en peuteropvang,Edmond Jasparstraat 32 6217 HP Maastricht,043 343 2995
Kleine maan,Isebrandtsheerd 116 9737 LL Groningen,050-5411504
Kleine Maatjes verpleegkundig kinderdagverblijf,Boerhaavelaan 32b 2035 RC Haarlem,0235407955
Kleine Maatjes verpleegkundig kinderdagverblijf,Snuiverstraat 63a 1561 HB Krommenie,075-6407512
Kleine Reus,Oranjesingel 33 5056 XB Berkel-enschot,013-5336061
Kleine Robbe,Paganinistraat 1 6904 EG Zevenaar,0316-246373
Kleine-Ikke Droomwereld,Melis Stokelaan 93 3842 GL Harderwijk,0341-754838
Kleine-Ikke kinderdagverblijven,Melis stokelaan 93 3842 GL Harderwijk,0341-754838
"Kleinschalige kinderopvang ""Madelief""",Huizumerlaan 117 8934 BE Leeuwarden,058-2884472
Kleinschalige Kinderopvang De 3 Leeuwtjes,Pasteurplein 18 2522 RC 's-Gravenhage,0616636405
Kleinschalige Kinderopvang Roodkapje,Odijkseweg 72a 3994 AT Houten,06-31697568
Kleinschalige Kinderopvang Roodkapje De Sloten,Snoeksloot 21 3993 HG Houten,06-31697568
Klikkelstein Kinderopvang,Grootschoterweg 10 6021 KC Budel,0495496391
Klokje Rond Kinderopvang,Houtwal 2 5509 KK Veldhoven,0634239069
KMN Kind & Co,Kroonslag 2 7 3991 TW Houten,(0)30 695 84 69
KMN Kind & Co,J. Israëlsstraat 2 1382 VL Weesp,0294-491672
Kober groep,Hooilaan 1 4816 EM Breda,076504 56 00
Kober kinderopvang,Hooilaan 1 4816 EM Breda,0765045605
Kobus,Oude Haven 2 3984 KT Odijk,030-6571215
Koeleköpkes,Marienhagelaan 2 6001 TP Weert,0495-538363
KOK Kinderopvang,De Krom 101 2221 KK Katwijk,0714088994
KOKO Kinderopvang B.V.,Postbus 78 3454 ZH De Meern,0306771552
Kooiduin buitenschoolse opvang,Kooiweg 30 4631 SZ Hoogerheide,0164-614168
KOOS Kinderopvang,Monumentstraat 55a 8101 AK Raalte,0572360185
KOSMO,Twentepoort West 5 7609 RD Almelo,088 234 7400
KOV 't Zonnehoekje,Schoterweg 94 2021 HR Haarlem,0235251264
KOV 't Zonnehoekje,Baden Powellweg 70 1069 LK Amsterdam,0204865474
KOVnet,Wasbeekerlaan 24 2171 AE Sassenheim,0252 752 269
Kraaiennest,Lavendel 1 5061 WB Oisterwijk,013-5220822
Kukelesaantje Kinderdagverblijf,Oude Gest 1 3752 EG Bunschoten spakenburg,0332983163
Kwibus,Boslaan 3 3981 XD Bunnik,030-6570116
Kwink Kinderopvang B.V.,Vijftien Morgen 17/A 3901 HA Veenendaal,0318518036
La Luna,Ter Haar Romenystraat 3 2215 GC Voorhout,025-2234025
Lammetje,Stakman Bossestraat 75 2203 GH Noordwijk zh,071-3616409
Langedijk Stichting Kinderopvang,Spoorstraat 140 1723 NG Noord Scharwoude,0226320208
Larissa Borissenko,Middenmolenplein 104 2807 GV Gouda,06 33897975
Leeuwenkuil,Marienstein 180-a 1852 SN Heiloo,072-5332122
Les Enfants Kinderdagverblijf,Abtswoude 19c 2626 NC Delft,06-41954799
Leuker Kids,Middelstestraat 77 6004 BH Weert,06- 20519589
Leye,Baerdijk 43 5061 GG Oisterwijk,013-5213105
Little Jungle Kinderopvang,Castilielaan 10 5629 CH Eindhoven,0402375761
Locatie BSO  Albertine Agnesschool van Kinderwoud kinderopvang,Prins Bernhardweg 33 8453 XC Oranjewoud,06-516 90 896
Locatie BSO  De Windbreker van Kinderwoud kinderopvang,Hugo de Grootstraat 2 8603 BP Sneek,06-103 77 086
Locatie BSO  It Arendsnest (groene BSO) van Kinderwoud kinderopvang,V Weerden Poelmanstraat 11 9254 CS Hurdegaryp,06-471 13 982
Locatie BSO  It Protternest van Kinderwoud kinderopvang,Marijkepaed 2 9257 VC Noardburgum,
Locatie BSO (NSO)  De Reinboge van Kinderwoud kinderopvang,Iikmounewei 61 9251 EW Burgum,06-471 13 976
Locatie BSO De Bistebus van Kinderwoud kinderopvang,Lauermanstraat 21-B 9251 AX Burgum,0511-46 92 65
Locatie BSO De Roerganger van Kinderwoud kinderopvang,Vogelwijk 21 8446 KC Heerenveen,06-513 69 817
Locatie BSO en KDV  It Arendsnest van Kinderwoud kinderopvang,V Weerden Poelmanstraat 2c 9254 CS Hurdegaryp,0511-52 25 11
Locatie BSO en KDV De Barte van Kinderwoud kinderopvang,Dominee Veenweg 10 8456 HR De knipe,06-533 34 325
Locatie BSO en KDV De Kompenije van Kinderwoud Kinderopvang,Wolfsklauw 25 8411 RC Jubbega,0516-46 39 75
Locatie BSO en PSZ De Einekoer van Kinderwoud kinderopang,Gruttostraat 13 8446 HB Heerenveen,0513-622314 (BSO)    0513-622314 (PSZ)
Locatie BSO Gytsjerk van Kinderwoud kinderopvang,Simke Kloostermanstr 44 9061 BG Gytsjerk,06-190 63 667
Locatie BSO Het Kompas van Kinderwoud kinderopvang,Jol 38 8446 EZ Heerenveen,06-199 73 932
Locatie BSO Mearkelan van Kinderwoud kinderopvang,Van Haersmasingel 6 9062 GB Oentsjerk,06-305 05 763
Locatie BSO Piipba van Kinderwoud kinderopvang,Reidfjild 4 9255 JW Tytsjerk,06-101 35 684
Locatie BSO Schoatterbosk van Kinderwoud kinderopvang,Costerweg 9 8451 BM Oudeschoot,06-198 01 776
"Locatie BSO, KDV en PSZ De Bosplaats van Kinderwoud kinderopvang",Schoterplein 23 8448 RP Heerenveen,0513-610825
Locatie De Akkers van Kinderwoud kinderopvang,Veluwelaan 47 8443 AJ Heerenveen,06-269 44 867
Locatie KDV  De Bijenkorf van Kinderwoud kinderopvang,Cyclamenstraat 1 8441 DR Heerenveen,0513-61 50 39 (KDV)
Locatie KDV  It Protternest van Kinderwoud kinderopvang,Zomerweg 75 9257 ME Noardburgum,06-166 15 389
Locatie KDV  Piipba van Kinderwoud kinderopvang,Reidfjild 54 9255 JW Tytsjerk,0511-43 22 60
Locatie KDV De Poppestien van Kinderwoud kinderopvang,Mr W M Oppedk van Veenwg 7 9251 GA Burgum,0511-46 54 11
Locatie KDV Mearkelan van Kinderwoud kinderopvang,Frisiastate 23 9062 GX Oentsjerk,058-25 603 94
Locatie KDV Oeps van Kinderwoud kinderopvang,Vogelwijk 20 8446 KE Heerenveen,0513-616461
"Locatie KDV, BSO en PSZ  Us Kubus van Kinderwoud kinderopvang",Barten 11 8447 BS Heerenveen,0513-622176 (groep Dribbel KDV)   0513-684094 (groep Dikkie Dik KDV) 0513-623655 (BSO)
Locatie PSZ  De Doerak van Kinderwoud kinderopvang,Johan Willem Frisostraat 57 8606 CT Sneek,0515-42 14 61     06-440 98 284
Locatie PSZ De Ljepper van Kinderwoud kinderopvang,Gruttostraat 13 8446 HB Heerenveen,06-199 75 252
Locatie PSZ De Lytse Kompanjon van Kinderwoud kinderopvang,Dominee Veenweg 10a 8456 HR De knipe,0513-68 81 29
Locatie PSZ en VSO Ekke de Haanschool van Kinderwoud kinderopvang,Zegge 2 8446 CL Heerenveen,06-573 16 871
"Locatie PSZ, KDV en BSO De Bijenkorf van Kinderwoud kinderopvang",Cyclamenstraat 1 8441 CP Heerenveen,0513-61 50 39
Locatie VSO De Ljepper van Kinderwoud kinderopvang,Tureluurstraat 20 8446 HM Heerenveen,06-199 75 252
Lutjebroek,kerkstraat 2 3800 AB Amersfoort,
Maatjes,Willem de Zwijgerlaan 52 6904 CM Zevenaar,0316-526445
Mama-Lou Travel Creche,Stierop 18 1862 JL Bergen,0725817559
Meander,Oeverwallaan 108 2498 BZ Den Haag,015-3108673
Media Kinderopvang,Jacobus Pennweg 4/6 1217 JH Hilversum,0356237322
MIK (Generaties lang kinderopvang),Randwycksingel 25 6229 EG Maastricht,0433517171
Mikz kinderopvang,Dodenauweg 2 5171 NG Kaatsheuvel,0416-369660
Mini's Kinderdagpaleis,Sparrestraat 45 1505 AK Zaandam,0756145025
Mini-Club Kinderdagverblijf,Schaarhuispad 93 - 95 5231 PP 's-Hertogenbosch,0736412678
Minicreche Noena,Doctor Cuyperslaan 108 5623 BD Eindhoven,0408421679
Mira Kinderdagverblijf,Karel Mollenstraat Noord 6 5552 JA Valkenswaard,0402070822
Moedersschoot Kinderdagverblijf voor Kinderen vanaf 6 wkn tot 4 jaar,Dr.H.Colijnstraat 252 1067 CP Amsterdam,0204471451
Mokido,Prinses Margrietstraat 1 5066 BA Moergestel,013-5133906
Molenakker,Molenakkerplein 115 6003 BN Weert,0495-525376
Monkey Donky De Hunze,Beijumerweg 10 9731 EB Groningen,050 579 1072
Monkey Donky Speelhuis,Hamburgerstraat 13 9714 JA Groningen,050-5791072
Monkey Donky Speelhuis,Butjesstraat 8 9712 EW Groningen,050-5791072
Monkey Donky Speelhuis Kinderopvang,Hamburgerstraat 13 9714 JA Groningen,0505791072
Montessori Kinderdagverblijf Centrum Sonsbeek Arnhem,Amsterdamseweg 100 6814 GG Arnhem,0263895298
montris kinderopvang,Gooimeer 3-10 1411 DC Naarden,035-6926171
Moppetoet Kinderdagverblijf,Heggerankweg 192 192 1032 JP Amsterdam,0630909964
MoreThanKidz,Drentse Poort 25 9521 JA Nieuw-Buinen,
Nijntje,Jasmijnstraat 11a 5492 JS Sint oedenrode,0413-420178
Nijntje Pluis Kinderopvang,Brandlichterweg 57 7591 AP Denekamp,0541354966
Nina Nino Kinderdagverblijf,Zeesluisweg 30 2583 DR 's-Gravenhage,0703388227
Noppie Kinderopvang,Voltastraat 40 A 6224 EM Maastricht,06 46564372
Norlandia kinderopvang B.V.,Joseph Haydnlaan 2A 3533 AE Utrecht,088 5791000
Oki-Doki Particulier Kinderdagverblijf,David Tenierslaan 6 3904 ZA Veenendaal,0318519633
Okido,Lavendel 13 5061 WB Oisterwijk,013-5230770
Okidoki Kinderopvang,Langestraat 132 2691 BK 's-Gravenzande,0174 441 510
Ontdekking,Generaal Eisenhowerweg 11 5056 CR Berkel-enschot,?
Oppascentrale de Langstraat,Parallelweg 3 C 5165 RE Waspik,0416-339046
Ot & Sien Kleinschalige Kinderopvang,Oosthavenkade 58 3134 NX Vlaardingen,010 4351920
Ot & Sien Kleinschalige Kinderopvang,Oosthavenkade 72 3134 NX Vlaardingen,0104351920
Oud Zandbergen Peuterspeelzaal,Prins Alexanderweg 1/A 3712 AD Huis ter Heide,030 6931917
Pandaberen,Aartseveen 96 3755 VE Eemnes,06-13470634
Pantomime Particulier Kinderdagverblijf,W Prinzenstraat 14 5701 BH Helmond,0492551802
Pardoes,Peter Zuidlaan 5 2742 XE Waddinxveen,0182-636902
Petits Les Bureau Planning & Organisatie,Donkerelaan 68 2061 JP Bloemendaal,0235318240
Peuterplaza,Antony van Dijcklaan 1 5056 CP Berkel-enschot,013-5335042
"Peuterspeelzaal ""De Holle Bolle Boom""",Schoolstraat 8 9363 BH Marum,06-57847819
Peuterspeelzaal Vechtkroost,Niftarlakelaan 3 3633 CA Vreeland,0294234556
Pido 0 - 4 jaar Kinderopvang,Oosterweg 65/A 9751 PC Haren,0505371220
Pimmetje,Rijnsburgerweg 140 2333 AH Leiden,0715157047
Pinkelotje Kinderdagverblijf,Claes de Vrieselaan 125/B 3021 JJ Rotterdam,0104770222
Piratenplaneet,Kanaalweg 2-4 2741 JK Waddinxveen,0182-637323
Piratenschip,Zonnedauw 1 3831 AG Leusden,06-51959926
Pjutteplak,Trimbeets 38 8401 XD Gorredijk,
Plein nul10,Klaasje Zevensterstraat 6 3193 TW Hoogvliet rotterdam,010 438 65 20
Pluk de Dag Kinderdagverblijf,Druivenstraat 3 4816 KB Breda,076-5712890
Plukde Dag Kinderdagverblijf,Dillehof 9 4907 BG Oosterhout nb,0162-450256
Poespas Kinderdagverblijf,Dommer v Poldersveldtweg 71/A 6523 CW Nijmegen,0243243795
